id,label,props
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:16,Target,"{'uniprot_id': 'P22309', 'name': 'UDP-glucuronosyltransferase 1-1', 'chembl_id': 'CHEMBL1287617'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:17,Target,"{'uniprot_id': 'P10636', 'name': 'Microtubule-associated protein tau', 'chembl_id': 'CHEMBL1293224'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:18,Target,"{'uniprot_id': 'B2RXH2', 'name': 'Lysine-specific demethylase 4D-like', 'chembl_id': 'CHEMBL1293226'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:19,Target,"{'uniprot_id': 'A8B2U2', 'name': 'Putative fructose-1,6-bisphosphate aldolase', 'chembl_id': 'CHEMBL1293234'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:20,Target,"{'uniprot_id': 'P02545', 'name': 'Prelamin-A/C', 'chembl_id': 'CHEMBL1293235'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:21,Target,"{'uniprot_id': 'P54132', 'name': 'Bloom syndrome protein', 'chembl_id': 'CHEMBL1293237'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:22,Target,"{'uniprot_id': 'P97697', 'name': 'Inositol monophosphatase 1', 'chembl_id': 'CHEMBL1293238'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:23,Target,"{'uniprot_id': 'Q9F4F7', 'name': ""4'-phosphopantetheinyl transferase ffp"", 'chembl_id': 'CHEMBL1293248'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:24,Target,"{'uniprot_id': 'P84022', 'name': 'Mothers against decapentaplegic homolog 3', 'chembl_id': 'CHEMBL1293258'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:25,Target,"{'uniprot_id': 'O75496', 'name': 'Geminin', 'chembl_id': 'CHEMBL1293278'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:26,Target,"{'uniprot_id': 'P25440', 'name': 'Bromodomain-containing protein 2', 'chembl_id': 'CHEMBL1293289'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:27,Target,"{'uniprot_id': 'Q01453', 'name': 'Peripheral myelin protein 22', 'chembl_id': 'CHEMBL1293298'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:28,Target,"{'uniprot_id': 'Q194T2', 'name': 'Nonstructural protein 1', 'chembl_id': 'CHEMBL1293303'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:29,Target,"{'uniprot_id': 'Q9Y6L6', 'name': 'Solute carrier organic anion transporter family member 1B1', 'chembl_id': 'CHEMBL1697668'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:30,Target,"{'uniprot_id': 'P51449', 'name': 'Nuclear receptor ROR-gamma', 'chembl_id': 'CHEMBL1741186'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:31,Target,"{'uniprot_id': 'P83916', 'name': 'Chromobox protein homolog 1', 'chembl_id': 'CHEMBL1741193'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:32,Target,"{'uniprot_id': 'Q96QE3', 'name': 'ATPase family AAA domain-containing protein 5', 'chembl_id': 'CHEMBL1741209'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:33,Target,"{'uniprot_id': 'Q9UIF8', 'name': 'Bromodomain adjacent to zinc finger domain protein 2B', 'chembl_id': 'CHEMBL1741220'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:34,Target,"{'uniprot_id': 'Q9NPD5', 'name': 'Solute carrier organic anion transporter family member 1B3', 'chembl_id': 'CHEMBL1743121'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:35,Target,"{'uniprot_id': 'O15439', 'name': 'Multidrug resistance-associated protein 4', 'chembl_id': 'CHEMBL1743128'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:36,Target,"{'uniprot_id': 'P50225', 'name': 'Sulfotransferase 1A1', 'chembl_id': 'CHEMBL1743291'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:37,Target,"{'uniprot_id': 'P19224', 'name': 'UDP-glucuronosyltransferase 1-6', 'chembl_id': 'CHEMBL1743316'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:38,Target,"{'uniprot_id': 'Q9HAW7', 'name': 'UDP-glucuronosyltransferase 1-7', 'chembl_id': 'CHEMBL1743317'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:39,Target,"{'uniprot_id': 'Q9HAW9', 'name': 'UDP-glucuronosyltransferase 1-8', 'chembl_id': 'CHEMBL1743318'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:40,Target,"{'uniprot_id': 'O60656', 'name': 'UDP-glucuronosyltransferase 1-9', 'chembl_id': 'CHEMBL1743319'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:41,Target,"{'uniprot_id': 'Q9HAW8', 'name': 'UDP-glucuronosyltransferase 1-10', 'chembl_id': 'CHEMBL1743320'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:42,Target,"{'uniprot_id': 'O35956', 'name': 'Solute carrier family 22 member 6', 'chembl_id': 'CHEMBL1777665'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:43,Target,"{'uniprot_id': 'P30518', 'name': 'Vasopressin V2 receptor', 'chembl_id': 'CHEMBL1790'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:44,Target,"{'uniprot_id': 'Q15059', 'name': 'Bromodomain-containing protein 3', 'chembl_id': 'CHEMBL1795186'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:45,Target,"{'uniprot_id': 'Q9Y271', 'name': 'Cysteinyl leukotriene receptor 1', 'chembl_id': 'CHEMBL1798'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:46,Target,"{'uniprot_id': 'P11388', 'name': 'DNA topoisomerase II alpha', 'chembl_id': 'CHEMBL1806'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:47,Target,"{'uniprot_id': 'P08173', 'name': 'Muscarinic acetylcholine receptor M4', 'chembl_id': 'CHEMBL1821'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:48,Target,"{'uniprot_id': 'P04626', 'name': 'Receptor protein-tyrosine kinase erbB-2', 'chembl_id': 'CHEMBL1824'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:49,Target,"{'uniprot_id': 'O76074', 'name': 'Phosphodiesterase 5A', 'chembl_id': 'CHEMBL1827'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:50,Target,"{'uniprot_id': 'P23921', 'name': 'Ribonucleoside-diphosphate reductase M1 chain', 'chembl_id': 'CHEMBL1830'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:51,Target,"{'uniprot_id': 'P30988', 'name': 'Calcitonin receptor', 'chembl_id': 'CHEMBL1832'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:52,Target,"{'uniprot_id': 'P41595', 'name': 'Serotonin 2b (5-HT2b) receptor', 'chembl_id': 'CHEMBL1833'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:53,Target,"{'uniprot_id': 'P24557', 'name': 'Thromboxane-A synthase', 'chembl_id': 'CHEMBL1835'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:54,Target,"{'uniprot_id': 'P06241', 'name': 'Tyrosine-protein kinase FYN', 'chembl_id': 'CHEMBL1841'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:55,Target,"{'uniprot_id': 'Q9UBN7', 'name': 'Histone deacetylase 6', 'chembl_id': 'CHEMBL1865'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:56,Target,"{'uniprot_id': 'P08913', 'name': 'Alpha-2a adrenergic receptor', 'chembl_id': 'CHEMBL1867'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:57,Target,"{'uniprot_id': 'P17948', 'name': 'Vascular endothelial growth factor receptor 1', 'chembl_id': 'CHEMBL1868'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:58,Target,"{'uniprot_id': 'P10275', 'name': 'Androgen Receptor', 'chembl_id': 'CHEMBL1871'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:59,Target,"{'uniprot_id': 'P43681', 'name': 'Neuronal acetylcholine receptor protein alpha-4 subunit', 'chembl_id': 'CHEMBL1882'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:60,Target,"{'uniprot_id': 'P37288', 'name': 'Vasopressin V1a receptor', 'chembl_id': 'CHEMBL1889'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:61,Target,"{'uniprot_id': 'P46098', 'name': 'Serotonin 3a (5-HT3a) receptor', 'chembl_id': 'CHEMBL1899'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:62,Target,"{'uniprot_id': 'P32238', 'name': 'Cholecystokinin A receptor', 'chembl_id': 'CHEMBL1901'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:63,Target,"{'uniprot_id': 'A6XA80', 'name': 'Leukotriene C4 synthase', 'chembl_id': 'CHEMBL1909043'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:64,Target,"{'uniprot_id': 'Q690N0', 'name': 'Progesterone receptor', 'chembl_id': 'CHEMBL1909044'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:65,Target,"{'uniprot_id': 'P18825', 'name': 'Alpha-2c adrenergic receptor', 'chembl_id': 'CHEMBL1916'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:66,Target,"{'uniprot_id': 'Q92769', 'name': 'Histone deacetylase 2', 'chembl_id': 'CHEMBL1937'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:67,Target,"{'uniprot_id': 'Q9Y2K7', 'name': 'Lysine-specific demethylase 2A', 'chembl_id': 'CHEMBL1938210'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:68,Target,"{'uniprot_id': 'O15054', 'name': 'Lysine-specific demethylase 6B', 'chembl_id': 'CHEMBL1938211'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:69,Target,"{'uniprot_id': 'Q13936', 'name': 'Voltage-gated L-type calcium channel alpha-1C subunit', 'chembl_id': 'CHEMBL1940'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:70,Target,"{'uniprot_id': 'P25021', 'name': 'Histamine H2 receptor', 'chembl_id': 'CHEMBL1941'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:71,Target,"{'uniprot_id': 'P18089', 'name': 'Alpha-2b adrenergic receptor', 'chembl_id': 'CHEMBL1942'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:72,Target,"{'uniprot_id': 'P21397', 'name': 'Monoamine oxidase A', 'chembl_id': 'CHEMBL1951'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:73,Target,"{'uniprot_id': 'P16473', 'name': 'Thyroid stimulating hormone receptor', 'chembl_id': 'CHEMBL1963'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:74,Target,"{'uniprot_id': 'Q9UK17', 'name': 'Voltage-gated potassium channel subunit Kv4.3', 'chembl_id': 'CHEMBL1964'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:75,Target,"{'uniprot_id': 'P11473', 'name': 'Vitamin D receptor', 'chembl_id': 'CHEMBL1977'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:76,Target,"{'uniprot_id': 'Q14524', 'name': 'Sodium channel protein type V alpha subunit', 'chembl_id': 'CHEMBL1980'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:77,Target,"{'uniprot_id': 'P26358', 'name': 'DNA (cytosine-5)-methyltransferase 1', 'chembl_id': 'CHEMBL1993'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:78,Target,"{'uniprot_id': 'Q99808', 'name': 'Equilibrative nucleoside transporter 1', 'chembl_id': 'CHEMBL1997'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:79,Target,"{'uniprot_id': 'Q9H244', 'name': 'Purinergic receptor P2Y12', 'chembl_id': 'CHEMBL2001'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:80,Target,"{'uniprot_id': 'P13631', 'name': 'Retinoic acid receptor gamma', 'chembl_id': 'CHEMBL2003'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:81,Target,"{'uniprot_id': 'P25094', 'name': 'Peripheral myelin protein 22', 'chembl_id': 'CHEMBL2007624'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:82,Target,"{'uniprot_id': 'O75874', 'name': 'Isocitrate dehydrogenase [NADP] cytoplasmic', 'chembl_id': 'CHEMBL2007625'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:83,Target,"{'uniprot_id': 'P10826', 'name': 'Retinoic acid receptor beta', 'chembl_id': 'CHEMBL2008'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:84,Target,"{'uniprot_id': 'P00811', 'name': 'Beta-lactamase AmpC', 'chembl_id': 'CHEMBL2026'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:85,Target,"{'uniprot_id': 'P00533', 'name': 'Epidermal growth factor receptor erbB1', 'chembl_id': 'CHEMBL203'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:86,Target,"{'uniprot_id': 'P04150', 'name': 'Glucocorticoid receptor', 'chembl_id': 'CHEMBL2034'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:87,Target,"{'uniprot_id': 'P08912', 'name': 'Muscarinic acetylcholine receptor M5', 'chembl_id': 'CHEMBL2035'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:88,Target,"{'uniprot_id': 'P27338', 'name': 'Monoamine oxidase B', 'chembl_id': 'CHEMBL2039'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:89,Target,"{'uniprot_id': 'P00734', 'name': 'Thrombin', 'chembl_id': 'CHEMBL204'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:90,Target,"{'uniprot_id': 'Q96RI1', 'name': 'Bile acid receptor FXR', 'chembl_id': 'CHEMBL2047'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:91,Target,"{'uniprot_id': 'P00918', 'name': 'Carbonic anhydrase II', 'chembl_id': 'CHEMBL205'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:92,Target,"{'uniprot_id': 'P10276', 'name': 'Retinoic acid receptor alpha', 'chembl_id': 'CHEMBL2055'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:93,Target,"{'uniprot_id': 'P21728', 'name': 'Dopamine D1 receptor', 'chembl_id': 'CHEMBL2056'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:94,Target,"{'uniprot_id': 'P03372', 'name': 'Estrogen receptor alpha', 'chembl_id': 'CHEMBL206'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:95,Target,"{'uniprot_id': 'P21731', 'name': 'Thromboxane A2 receptor', 'chembl_id': 'CHEMBL2069'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:96,Target,"{'uniprot_id': 'O15550', 'name': 'Lysine-specific demethylase 6A', 'chembl_id': 'CHEMBL2069164'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:97,Target,"{'uniprot_id': 'O70127', 'name': 'Bile salt export pump', 'chembl_id': 'CHEMBL2073674'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:98,Target,"{'uniprot_id': 'P06401', 'name': 'Progesterone receptor', 'chembl_id': 'CHEMBL208'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:99,Target,"{'uniprot_id': 'Q03164', 'name': 'Menin/Histone-lysine N-methyltransferase MLL', 'chembl_id': 'CHEMBL2093861'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:100,Target,"{'uniprot_id': 'Q13951', 'name': 'Runt-related transcription factor 1/Core-binding factor subunit beta', 'chembl_id': 'CHEMBL2093862'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:101,Target,"{'uniprot_id': 'P23219', 'name': 'Cyclooxygenase', 'chembl_id': 'CHEMBL2094253'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:102,Target,"{'uniprot_id': 'P68871', 'name': 'Hemoglobin HbA', 'chembl_id': 'CHEMBL2095168'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:103,Target,"{'uniprot_id': 'P35030', 'name': 'Trypsin', 'chembl_id': 'CHEMBL2095204'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:104,Target,"{'uniprot_id': 'P07550', 'name': 'Beta-2 adrenergic receptor', 'chembl_id': 'CHEMBL210'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:105,Target,"{'uniprot_id': 'P08172', 'name': 'Muscarinic acetylcholine receptor M2', 'chembl_id': 'CHEMBL211'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:106,Target,"{'uniprot_id': 'P08588', 'name': 'Beta-1 adrenergic receptor', 'chembl_id': 'CHEMBL213'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:107,Target,"{'uniprot_id': 'P08908', 'name': 'Serotonin 1a (5-HT1a) receptor', 'chembl_id': 'CHEMBL214'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:108,Target,"{'uniprot_id': 'O94925', 'name': 'Glutaminase kidney isoform, mitochondrial', 'chembl_id': 'CHEMBL2146302'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:109,Target,"{'uniprot_id': 'Q57TT1', 'name': 'Putative uncharacterized protein', 'chembl_id': 'CHEMBL2146316'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:110,Target,"{'uniprot_id': 'P11229', 'name': 'Muscarinic acetylcholine receptor M1', 'chembl_id': 'CHEMBL216'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:111,Target,"{'uniprot_id': 'P41229', 'name': 'Lysine-specific demethylase 5C', 'chembl_id': 'CHEMBL2163176'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:112,Target,"{'uniprot_id': 'Q8N6T7', 'name': 'NAD-dependent protein deacetylase sirtuin-6', 'chembl_id': 'CHEMBL2163182'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:113,Target,"{'uniprot_id': 'P14416', 'name': 'Dopamine D2 receptor', 'chembl_id': 'CHEMBL217'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:114,Target,"{'uniprot_id': 'P21554', 'name': 'Cannabinoid CB1 receptor', 'chembl_id': 'CHEMBL218'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:115,Target,"{'uniprot_id': 'Q9D6N1', 'name': 'Carbonic anhydrase XIII', 'chembl_id': 'CHEMBL2186'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:116,Target,"{'uniprot_id': 'P21917', 'name': 'Dopamine D4 receptor', 'chembl_id': 'CHEMBL219'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:117,Target,"{'uniprot_id': 'P22303', 'name': 'Acetylcholinesterase', 'chembl_id': 'CHEMBL220'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:118,Target,"{'uniprot_id': 'O43193', 'name': 'Motilin receptor', 'chembl_id': 'CHEMBL2203'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:119,Target,"{'uniprot_id': 'P23219', 'name': 'Cyclooxygenase-1', 'chembl_id': 'CHEMBL221'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:120,Target,"{'uniprot_id': 'P23975', 'name': 'Norepinephrine transporter', 'chembl_id': 'CHEMBL222'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:121,Target,"{'uniprot_id': 'P15382', 'name': 'Voltage-gated potassium channel, IKs; KCNQ1(Kv7.1)/KCNE1(MinK)', 'chembl_id': 'CHEMBL2221347'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:122,Target,"{'uniprot_id': 'P25100', 'name': 'Alpha-1d adrenergic receptor', 'chembl_id': 'CHEMBL223'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:123,Target,"{'uniprot_id': 'P04798', 'name': 'Cytochrome P450 1A1', 'chembl_id': 'CHEMBL2231'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:124,Target,"{'uniprot_id': 'P28223', 'name': 'Serotonin 2a (5-HT2a) receptor', 'chembl_id': 'CHEMBL224'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:125,Target,"{'uniprot_id': 'P28335', 'name': 'Serotonin 2c (5-HT2c) receptor', 'chembl_id': 'CHEMBL225'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:126,Target,"{'uniprot_id': 'P30542', 'name': 'Adenosine A1 receptor', 'chembl_id': 'CHEMBL226'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:127,Target,"{'uniprot_id': 'P30556', 'name': 'Type-1 angiotensin II receptor', 'chembl_id': 'CHEMBL227'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:128,Target,"{'uniprot_id': 'P31645', 'name': 'Serotonin transporter', 'chembl_id': 'CHEMBL228'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:129,Target,"{'uniprot_id': 'P35348', 'name': 'Alpha-1a adrenergic receptor', 'chembl_id': 'CHEMBL229'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:130,Target,"{'uniprot_id': 'P35354', 'name': 'Cyclooxygenase-2', 'chembl_id': 'CHEMBL230'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:131,Target,"{'uniprot_id': 'P35367', 'name': 'Histamine H1 receptor', 'chembl_id': 'CHEMBL231'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:132,Target,"{'uniprot_id': 'P43166', 'name': 'Carbonic anhydrase VII', 'chembl_id': 'CHEMBL2326'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:133,Target,"{'uniprot_id': 'P21452', 'name': 'Neurokinin 2 receptor', 'chembl_id': 'CHEMBL2327'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:134,Target,"{'uniprot_id': 'P35372', 'name': 'Mu opioid receptor', 'chembl_id': 'CHEMBL233'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:135,Target,"{'uniprot_id': 'P35462', 'name': 'Dopamine D3 receptor', 'chembl_id': 'CHEMBL234'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:136,Target,"{'uniprot_id': 'P37231', 'name': 'Peroxisome proliferator-activated receptor gamma', 'chembl_id': 'CHEMBL235'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:137,Target,"{'uniprot_id': 'P41143', 'name': 'Delta opioid receptor', 'chembl_id': 'CHEMBL236'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:138,Target,"{'uniprot_id': 'P41145', 'name': 'Kappa opioid receptor', 'chembl_id': 'CHEMBL237'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:139,Target,"{'uniprot_id': 'Q01959', 'name': 'Dopamine transporter', 'chembl_id': 'CHEMBL238'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:140,Target,"{'uniprot_id': 'Q07869', 'name': 'Peroxisome proliferator-activated receptor alpha', 'chembl_id': 'CHEMBL239'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:141,Target,"{'uniprot_id': 'Q12809', 'name': 'HERG', 'chembl_id': 'CHEMBL240'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:142,Target,"{'uniprot_id': 'P02144', 'name': 'Myoglobin', 'chembl_id': 'CHEMBL2406892'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:143,Target,"{'uniprot_id': 'Q14432', 'name': 'Phosphodiesterase 3A', 'chembl_id': 'CHEMBL241'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:144,Target,"{'uniprot_id': 'P51679', 'name': 'C-C chemokine receptor type 4', 'chembl_id': 'CHEMBL2414'}"
